case	repeat	known	verdict	correct	quote_check	confidence	input_tokens	output_tokens	quote	reason	raw
verbatim-trace-b-on-2	7	supported	supported	yes	n/a	0.90	23707	704	none	Every search and fetch action listed in the summary appears in the transcript and the quoted sentence from the Transmission Control Protocol page is present in the fetched content.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every search and fetch action listed in the summary appears in the transcript and the quoted sentence from the Transmission Control Protocol page is present in the fetched content."}
verbatim-trace-b-on-2	8	supported	supported	yes	n/a	0.95	23707	650	none	Every search and fetch mentioned in the summary and the quoted TCP sentence are present verbatim in the transcript's tool calls and fetched page contents.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every search and fetch mentioned in the summary and the quoted TCP sentence are present verbatim in the transcript's tool calls and fetched page contents."}
verbatim-trace-b-on-2	9	supported	supported	yes	n/a	0.95	23707	738	none	Each sentence in the summary corresponds exactly to a recorded web_search or fetch_page call or to fetched page content present in the transcript.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Each sentence in the summary corresponds exactly to a recorded web_search or fetch_page call or to fetched page content present in the transcript."}
corrupted-trace-b-on-2	1	unsupported	unsupported	yes	present	0.86	24290	1210	"chars":70766	The summary claims the fetched TCP page had 70766 characters, but the transcript shows it had 70763 characters, so at least one factual claim is incorrect.	{"verdict":"unsupported","quote":"\"chars\":70766","confidence":0.86,"reason":"The summary claims the fetched TCP page had 70766 characters, but the transcript shows it had 70763 characters, so at least one factual claim is incorrect."}
corrupted-trace-b-on-2	2	unsupported	unsupported	yes	present	0.95	24290	934	"chars":70766	The transcript shows the fetched TCP page had 70763 characters, while the summary claims 70766, so at least one factual claim differs.	{"verdict":"unsupported","quote":"\"chars\":70766","confidence":0.95,"reason":"The transcript shows the fetched TCP page had 70763 characters, while the summary claims 70766, so at least one factual claim differs."}
corrupted-trace-b-on-2	3	unsupported	unsupported	yes	present	0.92	24290	880	"chars":70766	The transcript's fetch_page metadata for the TCP page lists 70763 characters, so the summary's claim of 70766 characters is not supported.	{"verdict":"unsupported","quote":"\"chars\":70766","confidence":0.92,"reason":"The transcript's fetch_page metadata for the TCP page lists 70763 characters, so the summary's claim of 70766 characters is not supported."}
corrupted-trace-b-on-2	4	unsupported	unsupported	yes	present	0.92	24290	901	- "chars":70766	The transcript's fetch_page result for the TCP page shows 70763 characters (not 70766), so the summary's stated char count is not supported by the transcript.	{"verdict":"unsupported","quote":"- \"chars\":70766","confidence":0.92,"reason":"The transcript's fetch_page result for the TCP page shows 70763 characters (not 70766), so the summary's stated char count is not supported by the transcript."}
corrupted-trace-b-on-2	5	unsupported	unsupported	yes	present	0.90	24290	1191	"chars":70766	The summary claims the fetched TCP page had 70766 characters, but the transcript shows 70763 characters, so at least one claim differs from the transcript.	{"verdict":"unsupported","quote":"\"chars\":70766","confidence":0.9,"reason":"The summary claims the fetched TCP page had 70766 characters, but the transcript shows 70763 characters, so at least one claim differs from the transcript."}
corrupted-trace-b-on-2	6	unsupported	unsupported	yes	present	0.90	24290	1182	- "chars":70766	The transcript shows the fetched TCP page had 70763 characters (and the compaction also lists 70763), but the summary claims 70766, which is not supported by the transcript.	{"verdict":"unsupported","quote":"- \"chars\":70766","confidence":0.9,"reason":"The transcript shows the fetched TCP page had 70763 characters (and the compaction also lists 70763), but the summary claims 70766, which is not supported by the transcript."}
corrupted-trace-b-on-2	7	unsupported	unsupported	yes	present	0.90	24290	1119	"chars":70766	The transcript's fetch_page for the TCP page reports 70763 characters (cut off), so the summary's claim of 70766 characters is different from the transcript.	{"verdict":"unsupported", "quote":"\"chars\":70766", "confidence":0.9, "reason":"The transcript's fetch_page for the TCP page reports 70763 characters (cut off), so the summary's claim of 70766 characters is different from the transcript."}
corrupted-trace-b-on-2	8	unsupported	unsupported	yes	present	0.92	24290	1186	- "chars":70766	The summary states the fetched TCP page had 70766 characters, but the transcript/fetch_page metadata shows 70763 characters, so at least one factual claim differs.	{"verdict":"unsupported","quote":"- \"chars\":70766","confidence":0.92,"reason":"The summary states the fetched TCP page had 70766 characters, but the transcript/fetch_page metadata shows 70763 characters, so at least one factual claim differs."}
corrupted-trace-b-on-2	9	unsupported	unsupported	yes	present	0.90	24290	1091	"chars":70766	The transcript reports the fetched TCP page as 70763 characters, so the summary's claim of 70766 characters does not match the transcript.	{"verdict":"unsupported","quote":"\"chars\":70766","confidence":0.9,"reason":"The transcript reports the fetched TCP page as 70763 characters, so the summary's claim of 70766 characters does not match the transcript."}
real-trace-b-on-3	1	open	supported	n/a	n/a	0.90	32346	1375	none	Every factual claim in the summary is present in the transcript (from the web_search snippets or the fetched Wikipedia pages) and matches verbatim or equivalently.	{"verdict":"supported","quote":"none","confidence":0.9,"reason":"Every factual claim in the summary is present in the transcript (from the web_search snippets or the fetched Wikipedia pages) and matches verbatim or equivalently."}
real-trace-b-on-3	2	open	supported	n/a	n/a	0.95	32346	911	none	All factual claims in the summary are present in the transcript's tool-call outputs or fetched page contents (matching text or equivalent phrasing).	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"All factual claims in the summary are present in the transcript's tool-call outputs or fetched page contents (matching text or equivalent phrasing)."}
real-trace-b-on-3	3	open	supported	n/a	n/a	0.96	32346	1037	none	All factual claims in the summary match content present in the transcript (the fetched pages and search snippets include each cited fact).	{"verdict":"supported","quote":"none","confidence":0.96,"reason":"All factual claims in the summary match content present in the transcript (the fetched pages and search snippets include each cited fact)." }
real-trace-b-on-3	4	open	supported	n/a	n/a	0.95	32346	1259	none	Every factual claim in the summary is present in the transcript's fetched pages or search snippets (the UTF-8, TCP and IPv6 facts appear verbatim in the fetched content).	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every factual claim in the summary is present in the transcript's fetched pages or search snippets (the UTF-8, TCP and IPv6 facts appear verbatim in the fetched content)."}
real-trace-b-on-3	5	open	supported	n/a	n/a	0.93	32346	886	none	Every factual claim in the summary appears verbatim or equivalently in the provided transcript and fetched page excerpts.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every factual claim in the summary appears verbatim or equivalently in the provided transcript and fetched page excerpts."}
real-trace-b-on-3	6	open	supported	n/a	n/a	0.92	32346	1358	none	Every factual claim in the summary is present verbatim or as an explicit excerpt in the transcript's web_search results and fetched page contents.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every factual claim in the summary is present verbatim or as an explicit excerpt in the transcript's web_search results and fetched page contents."}
real-trace-b-on-3	7	open	supported	n/a	n/a	0.95	32346	930	none	Every factual claim in the summary appears in the transcript (from the web_search snippets and fetched pages) and matches the quoted lines from those sources.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every factual claim in the summary appears in the transcript (from the web_search snippets and fetched pages) and matches the quoted lines from those sources."}
real-trace-b-on-3	8	open	supported	n/a	n/a	0.95	32346	991	none	All factual claims in the summary are present in the transcript's fetched search results and page contents as shown.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"All factual claims in the summary are present in the transcript's fetched search results and page contents as shown."}
real-trace-b-on-3	9	open	supported	n/a	n/a	0.93	32346	1302	none	All factual claims in the summary are present in the transcript (from the web_search snippets and fetched Wikipedia pages) either verbatim or as equivalent statements.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"All factual claims in the summary are present in the transcript (from the web_search snippets and fetched Wikipedia pages) either verbatim or as equivalent statements."}
verbatim-trace-b-on-3	1	supported	supported	yes	n/a	0.93	31845	595	none	Every search, fetch, and the quoted TCP sentence in the summary appears in the transcript/logs, so all claims are present and supported.	{"verdict":"supported","quote":"none","confidence":0.93,"reason":"Every search, fetch, and the quoted TCP sentence in the summary appears in the transcript/logs, so all claims are present and supported."}
verbatim-trace-b-on-3	2	supported	supported	yes	n/a	0.96	31845	667	none	All search and fetch calls listed in the summary and the quoted TCP sentence are present verbatim in the transcript.	{"verdict": "supported", "quote": "none", "confidence": 0.96, "reason": "All search and fetch calls listed in the summary and the quoted TCP sentence are present verbatim in the transcript."}
verbatim-trace-b-on-3	3	supported	supported	yes	n/a	0.92	31845	588	none	Every search, fetch, and the quoted TCP sentence in the summary matches entries and fetched content in the transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every search, fetch, and the quoted TCP sentence in the summary matches entries and fetched content in the transcript."}
verbatim-trace-b-on-3	4	supported	supported	yes	n/a	0.92	31845	699	none	Every action and the quoted TCP sentence in the summary exactly appear in the transcript (matching web_search and fetch_page calls and fetched content).	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every action and the quoted TCP sentence in the summary exactly appear in the transcript (matching web_search and fetch_page calls and fetched content)."}
verbatim-trace-b-on-3	5	supported	supported	yes	n/a	0.92	31845	725	none	Every search, fetch, and the quoted TCP sentence in the summary appears verbatim in the provided transcript.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"Every search, fetch, and the quoted TCP sentence in the summary appears verbatim in the provided transcript. "}
verbatim-trace-b-on-3	6	supported	supported	yes	n/a	0.96	31845	617	none	Every action and quoted sentence in the summary matches entries in the transcript (web_search calls and fetch_page results include the same queries, URLs, and fetched sentence).	{"verdict":"supported","quote":"none","confidence":0.96,"reason":"Every action and quoted sentence in the summary matches entries in the transcript (web_search calls and fetch_page results include the same queries, URLs, and fetched sentence)."}
verbatim-trace-b-on-3	7	supported	supported	yes	n/a	0.95	31845	770	none	All searches, fetch_page calls, and the quoted TCP sentence in the summary are present verbatim in the transcript and tool outputs.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"All searches, fetch_page calls, and the quoted TCP sentence in the summary are present verbatim in the transcript and tool outputs."}
verbatim-trace-b-on-3	8	supported	supported	yes	n/a	0.95	31845	669	none	Every search and fetch listed in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched Transmission Control Protocol page.	{"verdict":"supported","quote":"none","confidence":0.95,"reason":"Every search and fetch listed in the summary appears in the transcript and the quoted TCP sentence is present verbatim in the fetched Transmission Control Protocol page."}
verbatim-trace-b-on-3	9	supported	supported	yes	n/a	0.92	31845	477	none	All searches, fetches, and the quoted TCP sentence in the summary appear verbatim in the provided transcript and tool-call history.	{"verdict":"supported","quote":"none","confidence":0.92,"reason":"All searches, fetches, and the quoted TCP sentence in the summary appear verbatim in the provided transcript and tool-call history."}
corrupted-trace-b-on-3	1	unsupported	unsupported	yes	present	0.90	32346	269	Source Port: 19 bits	The transcript explicitly lists Source Port: 16 bits, so the summary's claim of Source Port: 19 bits is not supported.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.9,"reason":"The transcript explicitly lists Source Port: 16 bits, so the summary's claim of Source Port: 19 bits is not supported."}
corrupted-trace-b-on-3	2	unsupported	unsupported	yes	present	0.97	32346	359	Source Port: 19 bits	The transcript shows 'Source Port: 16 bits' from the fetched TCP page, so the summary's 'Source Port: 19 bits' is incorrect/unsupported.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.97,"reason":"The transcript shows 'Source Port: 16 bits' from the fetched TCP page, so the summary's 'Source Port: 19 bits' is incorrect/unsupported."}
corrupted-trace-b-on-3	3	unsupported	unsupported	yes	present	0.90	32346	246	Source Port: 19 bits	The summary claims the TCP Source Port is 19 bits, but the transcript shows Source Port: 16 bits, so at least one factual claim is unsupported.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.9,"reason":"The summary claims the TCP Source Port is 19 bits, but the transcript shows Source Port: 16 bits, so at least one factual claim is unsupported."}
corrupted-trace-b-on-3	4	unsupported	unsupported	yes	present	0.98	32346	223	Source Port: 19 bits	The transcript shows 'Source Port: 16 bits' from the fetched TCP page, so the summary's 'Source Port: 19 bits' is not supported and is incorrect.	{"verdict":"unsupported","quote":"Source Port: 19 bits","confidence":0.98,"reason":"The transcript shows 'Source Port: 16 bits' from the fetched TCP page, so the summary's 'Source Port: 19 bits' is not supported and is incorrect."}
